,,0
441,Gigli,30
442,Highlander: Endgame,12
443,The Limey,6
444,FearDotCom,5
445,Mean Creek,0
446,The Alamo,28
447,Air Bud,22
448,Curious George,32
449,My Name Is Bruce,1
450,Bright Star,39
451,Brother,18
452,Club Dread,11
453,The Wraith,6
454,Soul Plane,23
455,The Bounty,28
456,The Scarlet Letter,35
457,Supernova,27
458,The Sweeney,26
459,Quest for Fire,11
460,A Civil Action,30
461,The Big Hit,12
462,The Greatest Game Ever Played,38
463,"For a Good Time, Call...",31
464,The Best Man Holiday,20
465,The Rookie,30
466,Highlander: The Final Dimension,12
467,Exit Wounds,12
468,Pink Flamingos,23
469,A Sound of Thunder,25
470,School for Scoundrels,13
471,Vampire in Brooklyn,23
472,Brokedown Palace,0
473,Whale Rider,11
474,Killing Zoe,27
475,Street Fighter: The Legend of Chun-Li,19
476,Children of Heaven,22
477,Undercover Brother,11
478,The Lost Weekend,0
479,Little Black Book,16
480,City Island,17
481,Domestic Disturbance,27
482,Selena,30
483,Godsend,27
484,Black or White,38
485,La Bamba,30
486,Drumline,16
487,BloodRayne,4
488,Cats & Dogs 2 : The Revenge of Kitty Galore,15
489,Nurse 3-D,24
490,Black Christmas,24
491,Torque,6
492,The Messenger,38
493,Evita,28
494,Return to Oz,14
495,Torn Curtain,18
496,Moms' Night Out,31
497,Underdogs,15
498,Can't Hardly Wait,23
499,Spice World,22
500,Poltergeist III,5
501,Hardball,29
502,D-Tox,27
503,The Astronaut Farmer,15
504,Racing Stripes,31
505,Death Race 2000,22
506,Alpha and Omega,32
507,North Country,38
508,Memoirs of an Invisible Man,22
509,The Man Who Knew Too Little,22
510,Silent House,24
511,Central Station,30
512,Cry_Wolf,24
513,Bandslam,39
514,Choke,17
515,The Replacement Killers,27
516,What Just Happened,17
517,Quills,30
518,Mr. Nice Guy,37
519,Friends with Money,13
520,Creepshow 2,5
521,Krull,33
522,Man of the Year,36
523,Waitress,20
524,Barney's Version,39
525,The Relic,18
526,Leatherheads,39
527,When the Game Stands Tall,38
528,Coriolanus,36
529,Hoodwinked Too! Hood VS. Evil,32
530,The Verdict,30
531,Hearts in Atlantis,0
532,My Stepmother is an Alien,7
533,The Black Hole,3
534,Shark Night,24
535,Albert Nobbs,38
536,Exorcist II: The Heretic,37
537,From Here to Eternity,35
538,Walking With Dinosaurs,32
539,He Got Game,30
540,Prom,31
541,Fun Size,31
542,Fiddler on the Roof,35
543,Boomerang,16
544,The Flintstones in Viva Rock Vegas,22
545,Zoom,32
546,Fido,13
547,The Art of War,37
548,Baahubali: The Beginning,25
549,White Fang,14
550,54,0
551,Next Friday,29
552,Serial Mom,27
553,Universal Soldier: The Return,6
554,Peggy Sue Got Married,23
555,Cutthroat Island,33
556,The Phantom,12
557,The Warrior's Way,4
558,The Matador,34
559,Pokémon: Spell of the Unknown,3
560,Antwone Fisher,35
561,The Return of the Pink Panther,16
562,Your Sister's Sister,17
563,The Shaggy Dog,15
564,Body Double,18
565,Barbershop,11
566,The Conspirator,26
567,Find Me Guilty,36
568,Tank Girl,22
569,The Prophecy,27
570,The Shadow,33
571,Beyond the Lights,39
572,The Texas Chainsaw Massacre 2,5
573,Firefox,33
574,Dylan Dog: Dead of Night,25
575,Quartet,13
576,Undisputed,12
577,"It's a Mad, Mad, Mad, Mad World",37
578,Stargate: The Ark of Truth,15
579,The Three Stooges,31
580,Must Love Dogs,13
581,The Apparition,24
582,Shortbus,13
583,I Don't Know How She Does It,31
584,Radio,30
585,Sea of Love,18
586,Miss Potter,17
587,Narc,27
588,Ernest & Celestine,15
589,The Adventures of Pluto Nash,22
590,Femme Fatale,18
591,The Best Years of Our Lives,35
592,1941,7
593,Shin Godzilla,25
594,The Tigger Movie,10
595,W.,38
596,Far from Heaven,35
597,Transamerica,9
598,Repo Man,22
599,Straw Dogs,36
600,Agent Cody Banks 2: Destination London,29
601,Get Carter,27
602,Captain Corelli's Mandolin,35
603,Cleopatra,35
604,Barbarella,6
605,Boat Trip,29
606,Crocodile Dundee in Los Angeles,11
607,Tora! Tora! Tora!,28
608,The Rugrats Movie,10
609,The Island of Dr. Moreau,6
610,My Soul to Take,26
611,Demonic,24
612,Micmacs,4
613,Shadow of the Vampire,0
614,Dracula 2000,5
615,Rob Roy,14
616,The Trouble with Harry,6
617,Furry Vengeance,31
618,Pulse,24
619,Tin Cup,16
620,The Great Debaters,38
621,The Believer,0
622,The Producers,20
623,Ong Bak 2,19
624,Big Miracle,39
625,May,27
626,Chasing Liberty,16
627,Antitrust,18
628,Swimming Pool,27
629,Employee of the Month,13
630,Southland Tales,25
631,Return to the Blue Lagoon,23
632,Deep Rising,12
633,Justin Bieber: Never Say Never,15
634,Two Lovers,39
635,Saving Silverman,23
636,The Wind That Shakes the Barley,36
637,Where the Heart Is,16
638,Rent,39
639,Judgment at Nuremberg,30
640,Stay Alive,24
641,A Room with a View,35
642,The Skulls,27
643,The Rocker,31
644,By the Sea,39
645,"4 Months, 3 Weeks and 2 Days",38
646,"20,000 Leagues Under the Sea",14
647,Dressed to Kill,5
648,Wicker Park,18
649,The Assassin,34
650,Midnight in the Garden of Good and Evil,18
651,A Lonely Place to Die,19
652,Crossroads,22
653,Mongol: The Rise of Genghis Khan,36
654,The Secret Life of Bees,36
655,Frenzy,18
656,Miracle,30
657,Keeping the Faith,16
658,Blue Crush,11
659,The Four Feathers,7
660,In the Land of Women,13
661,Win a Date with Tad Hamilton!,23
662,Spellbound,18
663,An Unfinished Life,38
664,The Howling,0
665,Twilight Zone: The Movie,6
666,Take the Lead,36
667,The Marine,34
668,Dolphin Tale,38
669,Weekend,9
670,Virtuosity,12
671,And So It Goes,13
672,Freeheld,13
673,Rabbit Hole,9
674,Bananas,29
